Industry,CASH_AND_CASH_EQUIVALENTS_floored1,COST_OF_GOODS_SOLD_1,CURRENT_ASSETS_1,CURRENT_LIABILITIES_1,DEPRECIATION_1,EBITDA_1,FIXED_AND_NON_CURRENT_ASSETS_1,GROSS_PROFIT_1,INTEREST_EXPENSE_1,LONG_TERM_DEBT_1,NET_FIXED_ASSETS_1,NET_INCOME_1,NET_INTANGIBLES_1,NET_TRADE_RECV_1,NON_CURRENT_LIABILITIES_1,RETAINED_EARNINGS_1,TOTAL_ASSETS_1,TOTAL_DEBT_1,TOTAL_INVENTORY_1,TURNOVER_1,WORKING_CAPITAL_1,Debt_to_TNW_1,Equity_to_Liability_1,Equity_to_Assets_1,Long_Term_Debt_to_Equity_1,NetFixedAssets_to_TotalDebt_1,Total_Liab_to_Total_Assets_1,EBITDA_to_total_Debt_1,EBITDA_to_Interest_1,EBITDA_to_curr_liab_1,Cash_to_Total_assets_1,Current_Ratio_1,Liquidity_Ratio_1,Curr_to_Total_Assets_1,Gross_Margin_perc_1,Net_Income_Margin_1,Total_Liab_to_Total_Assets_2_1,Default
Wholesale,582253,6112829,2059686,1817106,22568,375444,745624,1270976,9072,302272,745624,360425,0,882890,500644,486177,2805310,543554,565280,7383805,242579,1.1148,0.2104,0.1738,0.62,1.3718,0.8262,0.6907,41.3838,0.2066,0.2076,1.1335,0.8063,0.7342,17.213,4.8813,-0.5236,0
Hospitality,85645,1086519,261063,394020,57171,-168183,2702455,719081,19825,534985,2702455,-245179,0,11362,634083,1797001,2963518,649062,14771,1805600,-132957,0.3354,1.8825,0.6531,0.2764,4.1636,0.3469,-0.2591,-8.4836,-0.4268,0.0289,0.6626,0.2462,0.0881,39.825,-13.5788,0.0879,0
Agriculture - Other,362,80151,217117,92014,27663,189612,1634390,334895,15163,278933,1616937,146785,12611,,278933,1480560,1851508,367629,209026,415046,125103,0.2504,3.9913,0.7997,0.1884,4.3983,0.2003,0.5158,12.5047,2.0607,0.0002,2.3596,,0.1173,80.6886,35.3659,0.0124,1
Retail,2963,533977,172597,158543,18092,104343,1087208,528680,11998,27655,754085,74253,318034,9281,27655,1073607,1259805,123638,140686,1062657,14054,0.1636,5.766,0.8522,0.0258,6.0992,0.1478,0.8439,8.6966,0.6581,0.0024,1.0886,0.0772,0.137,49.7508,6.9874,,0
Hospitality,145735,341586,233395,79110,2049,149201,11617,228611,,,11617,117761,0,2420,,165900,245012,38571,4322,570197,154285,0.2325,2.0971,0.6771,,0.3012,0.3229,3.8683,,1.886,0.5948,2.9503,1.8728,0.9526,40.0933,20.6527,-0.5542,0
Agriculture - Other,-644364,1097377,812277,2349532,123234,-199917,2677953,859798,19822,,2677953,-342973,0,328534,600508,540190,3490230,978027,464170,1957175,-1537254,1.8105,0.1831,0.1548,,2.7381,0.8452,-0.2044,-10.0857,-0.0851,0,0.3457,0.1398,0.2327,43.9306,-17.5239,0.1755,1
Wholesale,57683,1377185,998745,688070,,253531,98989,735131,,,98989,253531,0,475601,75182,334482,1097733,44248,442404,2112316,310675,0.1323,0.4382,0.3047,,2.2371,0.6953,5.7298,,0.3685,0.0525,1.4515,0.775,0.9098,34.8021,12.0025,-0.0975,0
Hospitality,145735,341586,233395,79110,2049,149201,11617,228611,,,11617,117761,0,2420,,165900,245012,38571,4322,570197,154285,0.2325,2.0971,0.6771,,0.3012,0.3229,3.8683,,1.886,0.5948,2.9503,1.8728,0.9526,40.0933,20.6527,-0.5542,0
Agriculture - Dairy,790,603882,305018,255276,66003,179753,1493385,389824,20902,260028,1404195,64116,0,191242,280493,676346,1798403,371675,104045,993706,49742,0.2944,2.3567,0.7021,0.2059,3.778,0.2979,0.4836,8.5999,0.7042,0.0004,1.1949,0.7523,0.1696,39.2293,6.4522,0,1
EduArtsHealthSocial,2233766,132874,4509112,3164124,398875,661047,2418555,8294785,,,2418555,262172,0,2222719,275217,3488326,6927666,,25221,8427660,1344988,,1.0142,0.5035,,,0.4965,,,0.2089,0.3224,1.4251,1.4084,0.6509,97.9459,3.1108,0.0051,1
